id,SQ1,SQ2,DQ1,DQ2,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5#1,Q5#2,Q5#3,Q6#1,Q6#2,Q6#3,Q7#1,Q7#2,Q7#3,Q8,Q9,Q10,Q11,Q12,DQ3,DQ4,DQ5,DQ6
1,3,1,2,2,3,2,3,3,3,3,3,3,3,2,3,5,4,3,11,10,9,3,4,5,5,3,3,7,3,12,2,2,3
2,3,2,1,4,3,3,2,3,4,3,2,2,4,2,3,6,4,3,11,3,5,3,1,4,3,4,4,4,1,7,5,2,3
3,2,1,11,4,3,1,3,3,3,3,1,4,2,4,3,7,3,2,5,4,9,3,7,4,4,3,2,6,4,12,4,3,3
4,3,2,1,5,4,2,3,3,4,3,3,3,3,2,3,8,6,1,5,9,11,3,1,2,4,3,2,1,1,3,8,3,3
5,4,1,16,4,3,1,3,3,4,3,2,3,3,2,3,4,5,2,12,,,1,3,4,3,3,4,3,1,12,3,2,2
6,4,2,1,4,3,2,3,3,3,2,3,3,3,4,4,1,3,5,3,8,10,2,7,4,1,3,1,6,1,11,4,2,4
7,4,2,1,1,2,2,2,3,4,2,3,3,3,2,2,1,4,6,8,11,9,3,4,1,5,4,2,3,1,3,6,3,3
8,4,2,1,5,3,2,3,3,3,2,3,4,4,3,3,2,4,5,10,3,11,3,4,1,2,2,1,2,2,11,8,4,4
9,1,1,1,2,1,5,1,4,2,2,2,2,4,1,1,1,4,7,1,3,6,11,,,5,5,5,7,6,12,1,5,3
10,3,2,2,2,3,2,3,3,3,3,2,3,3,2,3,1,2,3,9,10,11,3,1,4,4,4,2,7,4,3,4,3,2
11,4,1,2,2,3,1,3,3,4,3,3,3,3,4,2,1,2,8,11,9,4,1,3,4,4,3,3,4,4,12,1,1,4
12,3,2,1,2,4,1,2,3,4,3,3,2,4,1,2,1,3,5,12,,,4,3,2,3,5,2,5,1,3,5,3,3
13,2,1,9,4,3,2,3,3,3,2,2,2,3,2,2,3,4,8,2,7,9,4,7,9,2,2,2,4,6,12,2,3,3
14,3,2,1,4,3,3,3,3,3,3,2,3,3,2,2,1,8,3,11,10,5,3,4,1,4,3,2,1,2,11,8,3,3
15,3,1,12,2,3,3,3,3,3,3,3,3,2,3,3,4,5,6,1,2,3,2,3,9,2,3,3,2,1,12,1,1,1
16,3,2,2,2,3,1,3,4,3,3,2,4,3,2,3,1,7,4,3,9,10,1,3,7,4,2,4,2,5,11,5,3,1
17,4,2,9,2,3,2,3,3,3,2,2,4,3,3,4,1,2,7,5,9,3,3,4,1,4,3,2,2,1,2,4,3,2
18,2,1,5,4,3,2,3,3,3,3,3,4,3,2,3,1,2,3,6,9,10,1,3,4,4,2,1,4,1,12,1,2,3
19,4,2,1,5,3,2,3,3,3,3,2,4,4,3,3,3,2,9,9,5,8,3,1,4,3,3,2,1,1,11,5,3,2
20,4,2,9,4,3,2,3,3,3,3,3,3,3,4,4,1,2,5,9,10,11,1,3,4,4,3,2,3,1,4,3,3,2
21,1,2,10,3,3,3,4,3,1,3,4,2,2,3,4,1,2,5,1,2,3,2,3,4,3,2,2,5,5,10,1,4,1
22,3,1,16,2,4,5,3,3,4,1,1,4,3,1,1,4,3,2,12,,,11,,,3,4,1,2,1,12,1,1,3
23,3,2,9,2,3,2,3,3,2,3,4,4,3,2,4,5,3,4,12,,,3,2,7,3,2,2,3,3,9,3,3,3
24,4,2,4,5,3,2,3,3,3,3,3,4,3,2,3,3,4,5,8,9,10,4,3,1,3,1,2,2,3,2,2,3,3
25,3,2,9,4,3,1,3,3,4,3,3,3,4,2,2,1,3,2,11,10,2,3,1,4,3,3,2,4,1,11,5,3,3
26,2,1,15,4,2,3,2,3,3,2,2,3,3,2,2,2,3,6,11,7,8,3,4,1,3,4,2,3,1,12,2,2,3
27,4,2,9,4,3,1,2,3,4,2,2,3,2,3,3,5,2,11,11,9,10,3,4,7,4,3,3,7,6,3,6,3,3
28,3,1,5,2,2,1,3,3,3,4,2,3,4,4,2,1,3,5,6,7,8,3,4,8,2,1,2,2,1,12,1,1,4
29,3,2,9,2,3,2,2,3,3,2,2,4,3,2,3,2,1,3,5,10,9,3,2,7,3,3,4,7,1,11,3,1,4
30,1,1,9,4,3,2,4,3,4,3,4,3,3,2,2,1,3,6,11,5,8,1,3,4,3,3,5,7,4,12,2,2,3
31,3,2,1,4,3,1,3,3,3,3,4,4,3,3,3,1,3,9,5,9,10,1,3,4,3,3,4,1,2,1,4,2,3
32,3,2,2,4,3,1,3,3,3,2,2,3,3,3,3,1,2,3,8,11,9,3,1,4,3,3,2,1,3,3,3,2,3
33,2,1,15,4,4,2,4,4,4,3,3,3,2,4,2,5,2,3,12,,,1,3,4,5,3,1,4,2,12,1,2,4
34,3,2,1,2,2,1,3,3,4,3,3,3,3,2,3,1,5,3,9,11,10,3,7,8,4,4,4,2,1,5,3,2,3
35,2,1,9,1,1,5,3,3,3,3,3,3,3,3,4,1,2,3,5,9,11,3,1,2,3,5,2,7,6,12,1,1,3
36,1,1,3,5,3,2,3,4,3,3,3,4,2,2,3,6,5,1,12,,,3,4,1,3,2,2,3,3,12,1,1,4
37,4,2,9,4,3,2,3,3,3,3,1,4,2,3,2,1,2,5,11,10,7,11,,,4,3,3,3,5,11,6,3,4
38,2,1,16,4,3,3,3,3,3,3,3,3,3,2,3,1,3,5,12,,,3,2,4,5,2,4,2,5,12,1,3,4
39,3,2,13,4,3,1,2,3,4,3,3,4,4,1,4,1,2,5,4,9,10,3,4,2,4,4,2,4,1,3,1,1,5
40,1,1,1,4,3,2,3,3,4,2,2,3,2,2,2,4,1,3,9,5,6,7,3,1,3,3,1,5,3,12,1,1,4
41,3,2,7,4,2,2,3,3,3,3,3,2,3,2,3,1,2,4,10,3,9,3,4,1,4,3,3,2,3,3,3,2,3
42,3,2,9,2,2,2,2,4,3,3,3,4,2,4,2,1,2,5,11,10,4,3,1,7,3,3,2,3,3,4,2,2,4
43,4,1,1,4,4,3,3,3,3,2,2,3,3,2,3,4,2,1,10,11,3,1,3,2,3,2,5,3,3,12,5,3,4
44,3,2,9,4,3,2,2,3,4,3,2,4,4,1,2,4,1,2,5,4,3,3,4,1,3,4,2,4,3,11,6,3,4
45,3,2,13,2,3,2,3,3,3,3,2,2,4,4,3,1,2,4,1,2,4,1,3,8,1,4,5,3,2,7,1,2,3
46,3,1,13,2,3,2,3,3,3,3,3,4,3,3,3,1,2,3,1,2,3,1,2,3,1,1,1,3,1,12,1,1,3
47,2,1,12,4,2,3,3,2,3,3,2,2,2,2,3,6,4,3,7,9,8,6,3,2,4,3,4,3,4,12,4,3,3
48,3,2,6,4,4,1,3,3,4,2,3,4,4,1,3,5,3,2,8,9,2,3,7,2,4,3,3,5,4,3,2,3,4
49,1,1,2,2,3,2,3,3,3,2,2,3,3,3,2,1,2,3,5,8,9,3,4,2,3,4,4,1,1,12,2,2,3
50,3,2,5,2,3,2,2,4,3,2,3,3,4,1,2,5,3,2,11,2,3,7,6,3,5,4,3,3,3,3,3,2,3
51,2,1,3,4,4,2,3,3,3,3,3,1,2,2,3,3,4,5,12,,,3,1,4,5,3,2,7,5,12,1,2,4
52,1,1,9,2,3,2,3,3,3,4,3,2,3,2,3,4,9,6,12,,,4,2,3,5,5,5,1,3,12,8,3,3
53,3,2,9,4,3,2,3,3,2,3,3,3,2,3,3,8,9,2,12,,,3,4,7,5,2,5,3,1,5,4,2,3
54,2,1,2,4,4,2,3,4,3,1,3,4,2,1,4,2,1,3,10,9,8,11,,,3,3,1,4,1,12,2,3,3
55,2,1,9,2,3,2,1,2,4,1,1,1,2,4,2,1,5,3,8,10,9,3,1,4,3,4,2,5,1,12,3,1,3
56,4,2,15,2,4,2,2,3,4,3,3,4,2,3,3,1,3,7,5,4,8,3,1,4,3,3,2,3,5,9,7,3,3
57,3,2,9,5,3,2,3,3,2,3,3,4,2,3,4,4,1,2,11,10,9,4,3,7,4,2,2,3,1,3,6,3,3
58,2,1,9,4,4,1,4,4,3,3,4,4,4,1,3,2,8,1,12,,,4,3,7,2,3,2,4,1,12,1,1,4
59,2,1,14,1,2,3,3,3,3,3,2,2,3,3,3,1,4,6,12,,,1,4,3,3,5,4,3,1,12,1,1,3
60,4,1,13,2,4,1,4,4,4,1,1,1,4,1,1,1,2,3,2,6,7,3,4,2,3,3,1,6,1,12,2,2,3
61,2,1,7,2,3,2,3,4,4,4,4,4,4,4,3,2,5,1,2,11,10,3,4,1,1,3,2,3,1,12,1,1,3
62,3,1,13,2,2,1,2,2,3,3,2,2,3,2,2,2,3,1,3,9,2,3,7,1,3,4,4,3,3,12,1,1,4
63,3,2,16,4,4,2,3,3,3,2,2,3,3,2,3,4,1,6,9,10,5,4,1,7,3,3,4,4,1,11,2,1,3
64,2,1,1,2,4,1,4,4,1,4,4,1,1,4,4,5,8,11,5,4,7,6,5,9,4,3,2,1,1,12,8,5,5
65,4,2,1,2,3,2,3,3,3,3,2,2,3,2,2,9,6,10,5,4,2,2,8,3,3,4,5,7,2,11,4,3,3
66,4,2,16,4,3,3,3,3,3,3,3,3,4,2,3,2,3,5,12,,,3,1,2,5,3,5,4,3,11,3,2,3
67,3,2,1,2,3,1,3,4,3,3,2,2,3,2,2,1,3,5,10,4,9,3,4,1,2,4,4,2,3,12,1,2,2
68,1,1,1,2,3,2,4,3,2,3,3,4,1,4,3,1,3,4,11,10,8,4,8,7,3,2,2,7,1,12,1,2,3
69,3,2,4,4,3,1,3,3,3,4,4,4,3,2,3,1,2,6,5,9,10,3,7,9,4,2,5,2,3,4,2,3,4
70,3,2,15,4,3,2,3,3,3,2,2,2,3,3,3,2,5,11,4,10,11,2,8,10,3,2,1,2,2,4,4,3,3
71,4,2,4,4,3,2,3,3,2,3,3,2,3,3,3,2,7,4,11,3,10,4,3,1,3,3,1,6,1,3,3,3,3
72,1,1,1,2,3,1,2,3,4,3,2,2,4,1,1,1,2,11,3,9,6,3,7,10,3,4,5,3,1,12,3,2,2
73,1,1,16,2,2,1,3,3,4,2,3,4,3,1,2,1,3,4,12,,,1,3,7,3,4,2,2,1,12,2,2,3
74,1,1,14,4,3,3,3,4,3,4,4,4,3,3,3,8,5,1,3,5,11,1,3,4,5,3,2,3,2,12,4,3,3
75,4,2,1,2,3,3,4,4,3,4,1,3,4,2,3,1,6,8,9,6,11,3,4,7,4,4,3,1,3,2,1,2,3
76,4,2,9,4,4,1,4,4,2,4,4,4,1,4,4,4,3,8,12,,,11,,,1,2,2,7,4,2,5,3,3
77,3,2,12,4,3,1,3,3,3,2,2,4,2,3,3,1,3,5,6,4,9,3,1,7,4,3,5,7,1,4,3,3,3
78,4,2,9,2,3,1,3,3,3,2,3,3,3,2,2,1,5,3,10,11,9,7,2,8,2,3,5,3,1,11,5,3,3
79,4,2,4,4,3,3,3,3,3,3,3,3,3,2,3,1,5,2,4,7,8,3,1,8,1,2,2,4,5,11,8,2,3
80,3,2,9,4,3,2,3,3,3,2,2,3,2,2,2,4,1,2,9,10,3,3,7,6,4,4,4,3,3,2,4,1,4
81,4,2,14,4,3,1,3,3,4,3,3,3,4,2,3,1,2,5,9,10,11,3,4,1,4,4,4,2,1,3,5,2,4
82,1,1,1,3,3,2,3,3,3,2,2,3,2,4,4,4,1,2,3,5,11,3,1,4,2,3,1,3,3,10,7,3,2
83,1,1,1,3,3,3,3,3,3,3,1,4,3,2,2,1,2,3,9,7,5,3,4,1,4,2,2,5,1,10,3,2,3
84,1,1,1,3,4,3,3,4,3,3,4,4,3,2,3,2,5,6,12,,,3,8,7,5,3,3,5,3,10,4,2,3
85,4,2,10,4,4,1,2,3,3,3,2,3,4,2,2,1,2,4,5,7,9,3,1,8,3,3,4,3,4,3,5,3,3
86,4,2,9,5,3,2,3,3,3,3,3,3,3,1,2,2,5,8,4,9,10,3,4,7,4,3,5,6,3,4,1,2,3
87,3,2,9,4,3,1,3,3,3,4,4,3,3,3,4,2,4,9,12,,,3,1,4,3,1,2,1,1,2,5,3,3
88,1,1,1,3,4,2,3,4,3,3,3,3,3,2,2,3,5,1,12,,,3,4,1,4,3,4,1,1,10,1,2,3
89,1,1,3,3,3,2,3,3,4,3,1,4,1,1,4,1,5,11,2,3,10,3,7,4,4,4,4,3,1,10,2,2,3
90,3,2,5,4,2,2,2,3,4,3,2,3,3,1,3,4,5,9,2,10,11,2,3,1,1,1,2,2,1,3,4,3,3
91,1,1,4,3,3,2,4,4,3,1,2,4,3,2,2,2,1,8,11,6,4,3,2,1,4,5,4,6,2,10,4,3,3
92,1,1,14,3,4,2,4,3,4,2,3,3,3,3,3,3,6,8,4,11,10,4,5,8,2,4,5,5,3,10,1,2,3
93,3,2,15,4,4,2,3,3,3,3,4,4,3,2,3,1,6,8,3,9,11,1,3,4,4,2,5,5,1,3,7,3,2
94,1,1,16,3,4,2,4,3,2,3,1,4,1,1,4,5,9,8,12,,,3,2,1,4,2,2,2,3,10,3,2,2
95,1,1,2,3,4,1,4,4,2,3,4,4,4,4,3,1,3,5,12,,,3,8,1,5,1,2,5,3,10,4,3,3
96,1,1,1,3,3,2,2,3,4,1,1,4,4,3,1,1,4,5,8,9,10,3,1,7,4,4,3,3,1,10,6,3,4
97,3,2,16,4,3,1,3,3,4,3,4,4,4,1,2,1,2,6,2,5,9,3,1,4,1,3,3,2,2,11,3,3,3
98,4,2,1,2,3,2,3,3,4,3,3,3,4,1,2,2,1,7,9,10,11,3,4,1,4,3,4,3,1,11,6,3,4
99,1,1,4,3,3,3,3,3,2,3,2,3,2,2,3,6,5,4,10,3,11,1,3,4,4,2,2,2,3,10,4,3,4
100,1,1,1,3,3,2,3,3,4,3,1,4,4,2,1,3,8,2,9,10,11,7,2,6,3,4,2,5,1,10,1,1,1
101,1,1,2,3,3,1,3,3,4,4,3,3,4,1,3,4,2,1,9,11,10,3,4,1,3,4,5,5,5,10,4,2,3
102,1,1,1,3,4,3,3,4,3,3,2,4,2,3,3,1,2,3,4,9,10,3,4,1,3,3,2,3,1,10,2,3,4
103,1,1,7,3,4,3,3,3,3,2,3,3,2,2,3,2,1,5,11,10,3,3,1,4,3,3,2,3,1,10,3,2,2
104,1,1,4,3,3,2,2,3,4,3,3,4,2,3,2,1,3,7,11,8,5,3,4,6,2,4,2,1,4,10,3,3,3
105,1,1,6,3,4,2,2,4,3,3,3,4,3,2,3,2,5,3,12,,,3,1,4,4,4,3,7,2,10,3,3,3
106,1,1,11,3,3,3,2,3,3,3,2,3,2,2,2,5,3,4,5,11,8,4,5,3,5,4,2,7,1,10,4,3,3
107,1,1,17,3,4,2,3,3,4,3,4,4,2,2,2,2,3,6,3,10,8,3,2,9,2,4,4,2,5,10,1,2,4
108,3,2,4,2,3,1,3,3,2,2,4,4,3,3,3,1,2,4,12,,,3,1,4,4,2,4,1,3,3,4,2,3
109,1,1,4,3,3,2,3,3,3,3,4,4,3,2,3,4,5,1,3,9,11,4,3,1,3,2,2,3,2,10,5,3,3
110,3,2,3,4,3,3,3,3,2,3,3,3,2,3,3,1,4,9,3,6,10,4,6,8,3,3,3,4,3,3,5,3,3
111,1,1,5,3,4,2,3,3,3,3,3,3,3,2,3,2,1,3,9,10,11,3,4,1,4,3,2,7,1,10,7,3,3
112,1,1,1,3,3,1,3,3,3,3,3,3,2,3,3,4,5,6,6,5,4,7,6,4,2,4,2,2,3,10,3,2,2
113,4,2,7,4,3,3,3,4,3,3,4,3,3,2,3,5,1,3,10,6,9,2,7,3,4,3,2,2,3,12,4,3,3
114,4,2,12,2,3,1,3,3,3,3,4,4,4,1,3,2,8,5,10,11,9,3,2,1,4,4,1,1,1,11,8,2,3
115,3,2,1,2,4,3,3,4,2,2,2,3,2,2,3,5,3,2,12,,,3,4,7,2,3,4,2,1,11,2,1,3
116,1,1,9,3,4,1,4,4,1,3,3,3,4,3,4,1,8,5,1,8,7,3,8,7,5,1,4,5,5,10,4,3,3
117,1,1,1,3,3,2,3,3,4,2,2,4,3,4,4,1,3,7,10,4,8,3,1,2,3,3,2,4,1,10,5,2,3
118,1,1,9,3,4,4,3,3,4,2,2,3,4,2,2,1,4,3,12,,,3,1,7,1,3,3,1,1,10,3,3,3
119,3,2,4,4,3,2,3,3,3,3,2,3,3,2,2,3,1,2,10,9,11,3,4,1,4,3,4,1,2,11,3,2,3
120,1,1,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,4,2,3,5,11,,,2,3,4,2,3,10,1,2,3
121,3,2,6,2,2,3,3,3,3,2,4,3,3,2,3,5,4,3,9,11,8,3,1,4,2,3,3,3,2,11,5,2,2
122,1,1,6,3,3,3,3,3,4,2,3,3,4,2,2,1,2,8,10,9,5,2,4,6,3,3,1,2,3,10,6,2,1
123,4,2,3,3,3,2,3,3,3,2,1,4,2,3,3,2,1,5,9,11,3,3,7,1,4,3,5,1,1,4,2,3,2
124,1,1,11,3,3,2,3,3,2,2,3,3,2,2,3,1,2,5,10,4,5,11,,,5,4,2,4,1,10,4,3,3
125,1,1,12,3,4,3,3,4,2,3,3,4,3,3,3,8,2,7,11,5,9,3,1,4,3,3,4,5,2,10,2,1,5
126,1,1,5,2,2,3,2,3,3,2,2,3,3,1,2,5,8,2,3,8,11,3,1,2,3,4,2,7,1,10,2,1,3
127,3,2,1,2,2,5,3,4,3,2,1,4,3,2,3,1,5,4,3,8,6,3,1,4,5,3,4,3,1,11,2,2,3
128,1,1,10,3,3,2,3,3,3,2,3,2,4,4,3,1,3,2,11,5,8,3,4,7,4,4,1,6,4,10,4,3,4
129,1,1,6,3,4,3,2,3,4,2,1,3,2,1,2,2,3,1,3,9,6,3,7,2,4,4,4,3,2,10,8,3,2
130,1,1,9,3,3,2,2,4,4,4,2,3,3,3,3,1,3,4,5,10,11,1,7,3,3,3,1,2,1,10,3,2,3
131,1,1,11,3,4,2,3,3,3,3,1,4,3,3,2,2,6,1,11,9,7,3,7,4,4,3,2,2,1,10,7,4,3
132,3,2,15,2,3,2,3,3,4,2,2,4,4,2,2,1,4,7,5,9,6,3,9,1,2,2,2,2,3,3,4,3,3
133,1,1,9,4,3,2,2,2,3,3,3,4,3,4,3,5,2,9,2,11,10,3,1,8,3,4,5,3,1,10,5,3,4
134,4,2,7,2,4,2,3,3,4,3,4,3,4,3,4,6,8,7,10,3,1,3,4,1,1,4,4,3,1,5,8,4,2
135,4,2,3,4,3,2,3,3,3,3,3,4,2,2,3,5,1,6,8,3,4,2,3,4,3,3,2,2,1,11,4,2,2
136,3,2,14,4,4,1,3,3,3,3,3,3,2,3,3,2,11,7,4,5,9,3,7,9,4,2,2,3,2,4,2,1,3
137,3,2,6,4,4,2,3,3,3,3,2,3,3,3,3,2,4,3,5,9,6,3,7,4,2,3,2,1,5,2,2,3,3
138,1,1,12,3,3,3,3,3,3,3,3,2,2,3,3,1,2,5,3,6,10,1,3,4,3,3,3,1,1,10,3,3,3
139,1,1,9,3,3,2,3,3,3,3,2,2,2,3,3,4,5,9,12,,,3,4,2,5,3,2,2,1,10,2,3,3
140,1,1,3,4,3,1,3,3,3,2,2,3,2,2,2,8,3,7,10,11,6,3,4,2,3,3,5,4,1,10,3,3,3
141,4,2,2,2,3,4,3,4,3,3,3,3,3,3,4,2,5,4,11,8,9,3,2,4,3,3,5,7,6,11,5,3,3
142,2,1,16,2,3,1,4,4,4,4,4,4,4,3,4,1,2,3,8,9,11,3,1,4,3,3,1,6,1,10,3,2,3
143,3,2,14,4,4,1,3,3,4,3,3,2,3,2,4,2,1,5,12,,,3,7,1,3,3,5,2,1,11,4,3,3
144,1,1,9,2,4,2,3,3,4,2,2,3,4,1,3,3,5,2,2,11,10,3,4,1,3,4,5,3,4,10,3,2,2
145,1,1,10,2,3,2,4,4,3,4,3,3,3,1,3,1,6,5,3,8,5,1,7,9,3,2,3,2,3,10,3,2,3
146,1,1,1,2,4,2,3,3,3,3,4,3,3,3,4,2,4,1,5,11,3,3,8,1,3,2,2,4,1,10,3,2,4
147,1,1,1,2,3,1,2,3,4,3,2,3,4,1,2,2,1,4,6,7,10,3,2,7,3,3,2,3,5,10,2,3,2
148,3,2,14,4,3,2,3,3,3,3,3,3,3,2,2,4,3,1,10,9,11,1,3,9,2,3,2,3,3,11,5,3,3
149,2,2,1,4,3,2,3,3,2,3,2,3,3,2,3,1,4,6,3,5,9,4,3,1,3,2,2,2,3,3,4,2,3
150,3,2,1,4,3,2,3,3,3,3,4,4,3,2,3,4,1,3,12,,,4,3,7,3,4,5,4,5,11,4,3,2
151,1,1,1,2,4,2,3,3,3,3,2,4,3,2,3,2,8,3,10,9,5,3,2,1,3,3,1,3,4,10,3,2,3
152,3,2,2,4,3,1,3,3,4,2,3,4,4,1,1,5,3,1,7,2,11,3,1,4,5,4,4,1,1,12,5,1,4
153,2,2,1,4,3,2,3,4,3,3,3,3,4,1,3,1,3,9,11,10,7,4,1,3,5,3,3,1,3,3,5,3,5
154,1,1,1,2,3,2,3,4,3,3,2,4,3,2,3,8,1,5,1,4,7,3,7,10,3,3,5,3,1,10,7,3,3
155,1,1,7,2,4,1,3,3,3,2,3,2,2,3,2,2,3,1,9,5,6,8,1,3,3,3,2,3,3,10,3,2,3
156,3,2,11,4,2,3,2,3,3,2,2,3,2,3,3,1,5,4,12,,,3,5,1,3,5,2,7,3,4,1,2,3
157,1,1,13,2,4,2,3,4,1,3,3,3,3,2,4,1,4,6,7,10,11,3,1,4,4,2,3,3,3,10,8,4,4
158,1,1,13,2,2,3,2,3,3,1,2,4,3,2,2,1,2,11,3,2,5,3,4,1,1,4,1,5,4,10,5,3,3
159,1,1,9,2,3,2,2,3,4,4,3,4,3,3,3,7,8,2,6,5,11,2,5,7,4,2,1,3,5,10,3,2,3
160,3,2,10,4,3,2,3,3,3,2,3,4,3,3,3,2,5,8,3,4,9,3,7,2,4,2,2,4,3,11,2,2,3
161,2,2,1,4,4,2,4,3,3,3,3,4,3,2,4,1,2,5,4,9,10,2,3,7,4,2,3,4,1,3,2,4,3
162,4,2,16,4,3,3,3,3,2,2,3,3,4,3,2,5,4,1,6,9,11,3,2,1,4,3,3,5,3,3,3,2,3
163,1,1,9,2,3,3,3,3,2,3,2,3,2,3,3,5,1,4,3,11,8,4,1,3,5,3,1,3,1,10,1,3,4
164,2,2,1,4,2,2,3,2,2,3,2,2,2,3,3,1,9,6,2,6,10,1,5,6,1,3,2,3,5,4,7,2,3
165,1,1,9,3,3,2,2,3,3,3,3,3,3,2,3,3,4,5,10,8,11,4,3,1,3,3,2,3,3,10,3,3,3
166,2,2,1,4,3,3,3,3,3,3,3,3,3,3,2,3,1,4,5,10,11,1,4,3,3,4,2,5,3,4,3,1,4
167,1,1,15,3,3,2,3,3,3,3,3,3,3,3,4,3,4,5,1,2,3,1,2,3,2,2,2,2,3,10,3,3,3
168,1,1,16,3,4,1,3,4,3,3,3,3,3,3,2,1,2,7,12,,,3,4,1,4,3,3,4,5,10,5,3,2
169,3,2,1,4,3,1,3,3,3,3,1,3,3,4,2,1,3,4,12,,,3,4,1,5,5,2,1,1,11,6,3,4
170,1,1,9,3,4,1,3,4,3,2,2,4,3,3,2,1,5,3,10,11,9,3,1,4,4,3,4,2,3,10,4,2,2
171,1,1,1,3,3,3,4,4,3,4,3,3,3,3,4,2,3,8,12,,,3,8,4,5,2,4,7,3,10,3,3,3
